"","1","2","3","4","5","6"
"40. Alvaro Morata (Real Madrid to Chelsea, 2017)",0.0101213771479148,0.0101213772652906,0.197975724567805,0.010121377147915,0.76153876672316,0.0101213771479148
"39. Sebastien Haller (Eintracht Frankfurt to West Ham, 2019)",0.0085207224015949,0.0085207224015949,0.0085207224015949,0.957396387992026,0.0085207224015949,0.0085207224015949
"38. Diego Costa (Chelsea to Atletico Madrid, 2017)",0.0101213771479148,0.761594484670346,0.197920006068593,0.010121377147915,0.0101213778173166,0.0101213771479148
"37. Harry Maguire (Leicester to Manchester United, 2019)",0.0101213771479148,0.0101213771479148,0.0101213774328001,0.949393113975541,0.0101213771479148,0.0101213771479148
"36. Tiemoue Bakayoko (Monaco to Chelsea (2017)",0.0124625147173942,0.706430654091708,0.243719287038715,0.0124625147173942,0.0124625147173942,0.0124625147173942
"35. Carlos Tevez (Boca Juniors to Shanghai Shenhua, 2016)",0.0085207224015949,0.957396387992026,0.0085207224015949,0.0085207224015949,0.0085207224015949,0.0085207224015949
"34. Angel Di Maria (Real Madrid to Manchester United, 2014)",0.0085207224015949,0.00852072262453365,0.0085207224015949,0.641104805042567,0.324812305128115,0.0085207224015949
"33. Giovani Lo Celso (Betis to Tottenham, 2019)",0.0124625147173942,0.0124625150038225,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.937687426126601
"32. Jack Rodwell (Manchester City to Sunderland, 2014)",0.0101213771479148,0.0101213771479148,0.0101213771479148,0.949393114260426,0.0101213771479148,0.0101213771479148
"31. Arthur & Miralem Pjanic (Barcelona swap with Juventus, 2020)",0.16666666614855,0.00852072240160688,0.0085207224015949,0.0085207224015949,0.799250443749356,0.00852072289729734
"30. Juan Sebastian Veron (Lazio to Manchester United, 2001)",0.0085207224015949,0.0085207224015949,0.00852072259837316,0.957396387795247,0.0085207224015949,0.0085207224015949
"29. Dmytro Chygrynskiy (Shakhtar Donetsk to Barcelona, 2009)",0.949393114260424,0.0101213771479167,0.0101213771479148,0.0101213771479148,0.0101213771479148,0.0101213771479148
"28. Kaka (AC Milan to Real Madrid, 2009)",0.0124625147173942,0.0124625152469461,0.012462515172681,0.0124625147173945,0.937687424964262,0.0124625151813224
"27. Ricardo Quaresma (Porto to Inter, 2008)",0.0124625147173942,0.0124625147173942,0.0124625148866981,0.0124625147173942,0.0124625147173942,0.937687426243725
"26. Eliaquim Mangala (Valencia to Manchester City, 2014)",0.0101213771479148,0.0101213771479148,0.0101213774327984,0.949393113759647,0.0101213773638099,0.0101213771479148
"25. Leonardo Bonucci (Juventus to Milan, 2017)",0.0124625147173942,0.0124625150038224,0.0124625150560005,0.0124625147173942,0.0124625151023068,0.937687425403082
"24. Tanguy Ndombele (Lyon to Tottenham, 2019)",0.0124625147173942,0.9376874259974,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625151330237
"23. Nicolas Pepe (Lille to Arsenal, 2019)",0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625147187777,0.937687426411645,0.0124625147173942
"22. Mario Balotelli (AC Milan to Liverpool, 2014)",0.0124625149849307,0.937687424854281,0.0124625152838647,0.0124625147173942,0.0124625150265061,0.0124625151330231
"21. Lazar Markovic (Benfica to Liverpool, 2014)",0.01246251529948,0.0124625154680912,0.937687425080246,0.0124625147173942,0.0124625147173942,0.0124625147173942
"20. Fernando Torres (Liverpool to Chelsea, 2011)",0.0124625150601293,0.678739218283207,0.271410722504481,0.0124625147173942,0.0124625147173942,0.0124625147173942
"19. Adrian Mutu (Parma to Chelsea, 2003)",0.0124625147173942,0.0124625147174965,0.243768742641201,0.0124625147173942,0.0124625147173942,0.70638119848912
"18. Shkodran Mustafi (Valencia to Arsenal, 2016)",0.0124625147173942,0.0124625147173942,0.0124625151726819,0.0124625150687088,0.937687425606427,0.0124625147173942
"17. Jese Rodriguez (Real Madrid to Paris Saint-Germain, 2016)",0.0085207224015949,0.00852072246490079,0.0085207224015949,0.00852072240159502,0.95739638792872,0.0085207224015949
"16. Jackson Martinez (Atletico Madrid to Guangzhou Evergrande, 2016)",0.0085207224015949,0.957396387630706,0.0085207224015949,0.00852072240159499,0.0085207227629147,0.0085207224015949
"15. Jonathan Woodgate (Newcastle United to Real Madrid, 2004)",0.00852072256642118,0.00852072262453367,0.0085207224015949,0.641104804877716,0.32481230512814,0.0085207224015949
"14. Luka Jovic (Eintracht Frankfurt to Real Madrid, 2019)",0.0085207224015949,0.00852072262453364,0.0085207224015949,0.641104805042567,0.324812305128115,0.0085207224015949
"13. Andy Carroll (Newcastle United to Liverpool, 2011)",0.709973775829312,0.0101213775392047,0.0101213773277583,0.249540715007895,0.0101213771479148,0.0101213771479148
"12. Gaizka Mendieta (Valencia to Lazio, 2001)",0.0124625147173942,0.0124625147173942,0.937687425621169,0.0124625152477751,0.0124625149788729,0.0124625147173942
"11. Zlatan Ibrahimovic (Inter to Barcelona, 2010)",0.243768742641258,0.0124625147174117,0.0124625149524354,0.0124625147173942,0.0124625147173942,0.706381198254106
"10. Andriy Shevchenko (AC Milan to Chelsea, 2006)",0.0124625147173942,0.0124625150092763,0.937687425508086,0.0124625147173942,0.0124625149788729,0.012462515068976
"9. Danny Drinkwater (Leicester to Chelsea, 2017)",0.0124625147173942,0.0124625147174118,0.937687426147821,0.0124625149825847,0.0124625147173942,0.0124625147173942
"8. Alexis Sanchez (Arsenal to Manchester United, 2018)",0.0101213771479148,0.0101213771479148,0.0101213771479148,0.766014594160586,0.193499897247754,0.0101213771479148
"7. Kepa Arrizabalaga (Athletic Club to Chelsea, 2018)",0.0101213771479148,0.0101213771479259,0.949393114260415,0.0101213771479148,0.0101213771479148,0.0101213771479148
"6. Paul Pogba (Juventus to Man Utd, 2016)",0.0101213771479148,0.0101213771479148,0.0101213771479148,0.0101213771479148,0.0101213772293373,0.949393114179004
"5. Ousmane Dembele (Borussia Dortmund to Barcelona, 2017)",0.949393114260424,0.0101213771479167,0.0101213771479148,0.0101213771479148,0.0101213771479148,0.0101213771479148
"4. Romelu Lukaku (Inter to Chelsea, 2021)",0.0124625147173942,0.0124625147174118,0.937687425709747,0.0124625147173942,0.0124625147173942,0.0124625154206589
"3. Philippe Coutinho (Liverpool to Barcelona, 2018)",0.937687425763529,0.012462515162375,0.0124625149219136,0.0124625147173942,0.0124625147173942,0.0124625147173942
"2. Eden Hazard (Chelsea to Real Madrid, 2019)",0.0101213771479148,0.0101213772652921,0.197975724567805,0.010121377147915,0.761538766723159,0.0101213771479148
"1. Antoine Griezmann (Atletico Madrid to Barcelona, 2021)",0.197966179441678,0.761548311297215,0.0101213771479148,0.010121377147915,0.0101213778173626,0.0101213771479148
"1. Neymar – 222 million euros",0.429612789529166,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.505536862152099
"2. Philippe Coutinho – 160 million euros",0.937687425952423,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625151780001
"3. Kylian Mbappe – €180 million",0.0162125875465294,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.918937064134736
"4. Ousmane Dembele – 145 million euros",0.937687425952423,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625151780001
"5. Eden Hazard – €160 million",0.0162125890417624,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.618028905427615,0.317120744291571
"6. Antoine Griezmann – 120 million euros",0.475074969582075,0.475074970508366,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625157573769
"7. Joao Felix – 126 million euros",0.289761449757519,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.0124625147173942,0.660388491372904
"8. Paul Pogba – €105 million",0.0162125875465289,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.918937064134736
"9. Cristiano Ronaldo – €105m",0.884045370487179,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642
"10. Zlatan Ibrahimovic (£146m)",0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259025642,0.884045370487179
"1. Eden Hazard to Real Madrid - 2019",0.0124625147173942,0.0124625148618192,0.0124625147173942,0.0124625147173945,0.937687426268604,0.0124625147173942
"2. Alexis Sanchez to Manchester United - 2018",0.0124625147173942,0.0124625147173942,0.0124625147173942,0.937687426413029,0.0124625147173942,0.0124625147173942
"3. Antoine Griezmann to Barcelona - 2020",0.317113974128986,0.618035677552279,0.0162125870796838,0.0162125870796838,0.0162125870796838,0.0162125870796838
"4. Mario Balotelli to Liverpool - 2014",0.0162125875625653,0.91893706383247,0.0162125873659133,0.0162125870796838,0.0162125870796838,0.0162125870796838
"5. Andriy Shevchenko to Chelsea -2006",0.0162125870796837,0.0162125870797154,0.91893706460155,0.0162125870796837,0.0162125870796838,0.0162125870796837
"6. Philippe Coutinho to Barcelona - 2018",0.918937064601576,0.0162125870796892,0.0162125870796838,0.0162125870796838,0.0162125870796837,0.0162125870796837
"7. Oscar to Shanghai SIPG - 2016",0.0162125870796837,0.918937064601581,0.0162125870796837,0.0162125870796837,0.0162125870796837,0.0162125870796837
"8. Willian to Arsenal - 2020",0.0231909259025642,0.0231909259025642,0.0231909259025642,0.0231909259083765,0.884045370481367,0.0231909259025642
"9. Nicolas Pepe to Arsenal - 2019",0.0162125870796838,0.0162125870796838,0.0162125870796838,0.0162125870821808,0.918937064599084,0.0162125870796838
"10. Danny Drinkwater to Chelsea- 2017",0.0162125870796837,0.0162125870797154,0.91893706460155,0.0162125870796837,0.0162125870796837,0.0162125870796837
